Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2004-10-21 00:00:00+01:00,2004-10-28 00:00:00+01:00,0,0,0,0.0,
2,2004-10-28 00:00:00+01:00,2004-11-04 00:00:00+01:00,0,0,0,0.0,
3,2004-11-04 00:00:00+01:00,2004-11-11 00:00:00+01:00,1,0,1,-4.8233257288268305,0.0
4,2004-11-11 00:00:00+01:00,2004-11-18 00:00:00+01:00,0,0,0,0.0,
5,2004-11-18 00:00:00+01:00,2004-11-25 00:00:00+01:00,1,0,1,-4.846970346181166,0.0
6,2004-11-25 00:00:00+01:00,2004-12-02 00:00:00+01:00,0,0,0,0.0,
7,2004-12-02 00:00:00+01:00,2004-12-09 00:00:00+01:00,0,0,0,0.0,
8,2004-12-09 00:00:00+01:00,2004-12-16 00:00:00+01:00,1,0,1,-5.695902425224425,0.0
9,2004-12-16 00:00:00+01:00,2004-12-23 00:00:00+01:00,0,0,0,0.0,
10,2004-12-23 00:00:00+01:00,2004-12-30 00:00:00+01:00,0,0,0,0.0,
11,2004-12-30 00:00:00+01:00,2005-01-06 00:00:00+01:00,1,0,1,-5.787937512742175,0.0
12,2005-01-06 00:00:00+01:00,2005-01-13 00:00:00+01:00,0,0,0,0.0,
13,2005-01-13 00:00:00+01:00,2005-01-20 00:00:00+01:00,1,0,0,0.0,0.0
14,2005-01-20 00:00:00+01:00,2005-01-27 00:00:00+01:00,0,0,0,0.0,
15,2005-01-27 00:00:00+01:00,2005-02-03 00:00:00+01:00,0,0,0,0.0,
16,2005-02-03 00:00:00+01:00,2005-02-10 00:00:00+01:00,0,0,0,0.0,
17,2005-02-10 00:00:00+01:00,2005-02-17 00:00:00+01:00,0,0,0,0.0,
18,2005-02-17 00:00:00+01:00,2005-02-24 00:00:00+01:00,0,0,0,0.0,
19,2005-02-24 00:00:00+01:00,2005-03-03 00:00:00+01:00,0,0,0,0.0,
20,2005-03-03 00:00:00+01:00,2005-03-10 00:00:00+01:00,0,0,0,0.0,
21,2005-03-10 00:00:00+01:00,2005-03-17 00:00:00+01:00,0,0,0,0.0,
22,2005-03-17 00:00:00+01:00,2005-03-24 00:00:00+01:00,1,0,1,-6.430778184425854,0.0
23,2005-03-24 00:00:00+01:00,2005-03-31 00:00:00+01:00,0,0,0,0.0,
24,2005-03-31 00:00:00+01:00,2005-04-07 00:00:00+01:00,0,0,0,0.0,
25,2005-04-07 00:00:00+01:00,2005-04-14 00:00:00+01:00,1,0,1,-6.721726303541608,0.0
26,2005-04-14 00:00:00+01:00,2005-04-21 00:00:00+01:00,1,0,1,-5.285987593329345,0.0
27,2005-04-21 00:00:00+01:00,2005-04-28 00:00:00+01:00,0,0,0,0.0,
28,2005-04-28 00:00:00+01:00,2005-05-05 00:00:00+01:00,1,0,1,-5.526882553653664,0.0
29,2005-05-05 00:00:00+01:00,2005-05-12 00:00:00+01:00,1,0,0,0.0,0.0
30,2005-05-12 00:00:00+01:00,2005-05-19 00:00:00+01:00,0,0,0,0.0,
31,2005-05-19 00:00:00+01:00,2005-05-26 00:00:00+01:00,0,0,0,0.0,
32,2005-05-26 00:00:00+01:00,2005-06-02 00:00:00+01:00,0,0,0,0.0,
33,2005-06-02 00:00:00+01:00,2005-06-09 00:00:00+01:00,1,0,1,-5.564189242916946,0.0
34,2005-06-09 00:00:00+01:00,2005-06-16 00:00:00+01:00,0,0,0,0.0,
35,2005-06-16 00:00:00+01:00,2005-06-23 00:00:00+01:00,0,0,0,0.0,
36,2005-06-23 00:00:00+01:00,2005-06-30 00:00:00+01:00,0,0,0,0.0,
37,2005-06-30 00:00:00+01:00,2005-07-07 00:00:00+01:00,0,0,0,0.0,
38,2005-07-07 00:00:00+01:00,2005-07-14 00:00:00+01:00,0,0,0,0.0,
39,2005-07-14 00:00:00+01:00,2005-07-21 00:00:00+01:00,0,0,0,0.0,
40,2005-07-21 00:00:00+01:00,2005-07-28 00:00:00+01:00,0,0,0,0.0,
41,2005-07-28 00:00:00+01:00,2005-08-04 00:00:00+01:00,0,0,0,0.0,
42,2005-08-04 00:00:00+01:00,2005-08-11 00:00:00+01:00,0,0,0,0.0,
43,2005-08-11 00:00:00+01:00,2005-08-18 00:00:00+01:00,0,0,0,0.0,
44,2005-08-18 00:00:00+01:00,2005-08-25 00:00:00+01:00,0,0,0,0.0,
45,2005-08-25 00:00:00+01:00,2005-09-01 00:00:00+01:00,0,0,0,0.0,
46,2005-09-01 00:00:00+01:00,2005-09-08 00:00:00+01:00,0,0,0,0.0,
47,2005-09-08 00:00:00+01:00,2005-09-15 00:00:00+01:00,0,0,0,0.0,
48,2005-09-15 00:00:00+01:00,2005-09-22 00:00:00+01:00,1,0,1,-7.921600655626932,0.0
49,2005-09-22 00:00:00+01:00,2005-09-29 00:00:00+01:00,0,0,0,0.0,
50,2005-09-29 00:00:00+01:00,2005-10-06 00:00:00+01:00,0,0,0,0.0,
51,2005-10-06 00:00:00+01:00,2005-10-13 00:00:00+01:00,0,0,0,0.0,
52,2005-10-13 00:00:00+01:00,2005-10-20 00:00:00+01:00,0,0,0,0.0,
53,2005-10-20 00:00:00+01:00,2005-10-27 00:00:00+01:00,0,0,0,0.0,
54,2005-10-27 00:00:00+01:00,2005-11-03 00:00:00+01:00,0,0,0,0.0,
55,2005-11-03 00:00:00+01:00,2005-11-10 00:00:00+01:00,0,0,0,0.0,
56,2005-11-10 00:00:00+01:00,2005-11-17 00:00:00+01:00,0,0,0,0.0,
57,2005-11-17 00:00:00+01:00,2005-11-24 00:00:00+01:00,0,0,0,0.0,
58,2005-11-24 00:00:00+01:00,2005-12-01 00:00:00+01:00,0,0,0,0.0,
59,2005-12-01 00:00:00+01:00,2005-12-08 00:00:00+01:00,0,0,0,0.0,
60,2005-12-08 00:00:00+01:00,2005-12-15 00:00:00+01:00,0,0,0,0.0,
61,2005-12-15 00:00:00+01:00,2005-12-22 00:00:00+01:00,0,0,0,0.0,
62,2005-12-22 00:00:00+01:00,2005-12-29 00:00:00+01:00,0,0,0,0.0,
63,2005-12-29 00:00:00+01:00,2006-01-05 00:00:00+01:00,1,0,1,-12.453101917719273,0.0
64,2006-01-05 00:00:00+01:00,2006-01-12 00:00:00+01:00,0,0,0,0.0,
65,2006-01-12 00:00:00+01:00,2006-01-19 00:00:00+01:00,0,0,0,0.0,
66,2006-01-19 00:00:00+01:00,2006-01-26 00:00:00+01:00,1,0,0,0.0,0.0
67,2006-01-26 00:00:00+01:00,2006-02-02 00:00:00+01:00,0,0,0,0.0,
68,2006-02-02 00:00:00+01:00,2006-02-09 00:00:00+01:00,0,0,0,0.0,
69,2006-02-09 00:00:00+01:00,2006-02-16 00:00:00+01:00,0,0,0,0.0,
70,2006-02-16 00:00:00+01:00,2006-02-23 00:00:00+01:00,0,0,0,0.0,
71,2006-02-23 00:00:00+01:00,2006-03-02 00:00:00+01:00,0,0,0,0.0,
72,2006-03-02 00:00:00+01:00,2006-03-09 00:00:00+01:00,0,0,0,0.0,
73,2006-03-09 00:00:00+01:00,2006-03-16 00:00:00+01:00,0,0,0,0.0,
74,2006-03-16 00:00:00+01:00,2006-03-23 00:00:00+01:00,0,0,0,0.0,
75,2006-03-23 00:00:00+01:00,2006-03-30 00:00:00+01:00,0,0,0,0.0,
76,2006-03-30 00:00:00+01:00,2006-04-06 00:00:00+01:00,0,0,0,0.0,
77,2006-04-06 00:00:00+01:00,2006-04-13 00:00:00+01:00,0,0,0,0.0,
78,2006-04-13 00:00:00+01:00,2006-04-20 00:00:00+01:00,0,0,0,0.0,
79,2006-04-20 00:00:00+01:00,2006-04-27 00:00:00+01:00,0,0,0,0.0,
80,2006-04-27 00:00:00+01:00,2006-05-04 00:00:00+01:00,0,0,0,0.0,
81,2006-05-04 00:00:00+01:00,2006-05-11 00:00:00+01:00,0,0,0,0.0,
82,2006-05-11 00:00:00+01:00,2006-05-18 00:00:00+01:00,0,0,0,0.0,
83,2006-05-18 00:00:00+01:00,2006-05-25 00:00:00+01:00,0,0,0,0.0,
84,2006-05-25 00:00:00+01:00,2006-06-01 00:00:00+01:00,0,0,0,0.0,
85,2006-06-01 00:00:00+01:00,2006-06-08 00:00:00+01:00,0,0,0,0.0,
86,2006-06-08 00:00:00+01:00,2006-06-15 00:00:00+01:00,0,0,0,0.0,
87,2006-06-15 00:00:00+01:00,2006-06-22 00:00:00+01:00,0,0,0,0.0,
88,2006-06-22 00:00:00+01:00,2006-06-29 00:00:00+01:00,0,0,0,0.0,
89,2006-06-29 00:00:00+01:00,2006-07-06 00:00:00+01:00,0,0,0,0.0,
90,2006-07-06 00:00:00+01:00,2006-07-13 00:00:00+01:00,1,0,1,-9.771305442920081,0.0
91,2006-07-13 00:00:00+01:00,2006-07-20 00:00:00+01:00,0,0,0,0.0,
92,2006-07-20 00:00:00+01:00,2006-07-27 00:00:00+01:00,0,0,0,0.0,
93,2006-07-27 00:00:00+01:00,2006-08-03 00:00:00+01:00,1,0,1,-17.528705989052128,0.0
94,2006-08-03 00:00:00+01:00,2006-08-10 00:00:00+01:00,0,0,0,0.0,
95,2006-08-10 00:00:00+01:00,2006-08-17 00:00:00+01:00,0,0,0,0.0,
96,2006-08-17 00:00:00+01:00,2006-08-24 00:00:00+01:00,0,0,0,0.0,
97,2006-08-24 00:00:00+01:00,2006-08-31 00:00:00+01:00,0,0,0,0.0,
98,2006-08-31 00:00:00+01:00,2006-09-07 00:00:00+01:00,1,0,1,-16.60344262443938,0.0
99,2006-09-07 00:00:00+01:00,2006-09-14 00:00:00+01:00,0,0,0,0.0,
100,2006-09-14 00:00:00+01:00,2006-09-21 00:00:00+01:00,0,0,0,0.0,
101,2006-09-21 00:00:00+01:00,2006-09-28 00:00:00+01:00,1,0,1,-21.675436219929367,0.0
102,2006-09-28 00:00:00+01:00,2006-10-05 00:00:00+01:00,0,0,0,0.0,
103,2006-10-05 00:00:00+01:00,2006-10-12 00:00:00+01:00,0,0,0,0.0,
104,2006-10-12 00:00:00+01:00,2006-10-19 00:00:00+01:00,0,0,0,0.0,
105,2006-10-19 00:00:00+01:00,2006-10-26 00:00:00+01:00,0,0,0,0.0,
106,2006-10-26 00:00:00+01:00,2006-11-02 00:00:00+01:00,1,0,1,-17.584687201401294,0.0
107,2006-11-02 00:00:00+01:00,2006-11-09 00:00:00+01:00,0,0,0,0.0,
108,2006-11-09 00:00:00+01:00,2006-11-16 00:00:00+01:00,0,0,0,0.0,
109,2006-11-16 00:00:00+01:00,2006-11-23 00:00:00+01:00,0,0,0,0.0,
110,2006-11-23 00:00:00+01:00,2006-11-30 00:00:00+01:00,0,0,0,0.0,
111,2006-11-30 00:00:00+01:00,2006-12-07 00:00:00+01:00,0,0,0,0.0,
112,2006-12-07 00:00:00+01:00,2006-12-14 00:00:00+01:00,0,0,0,0.0,
113,2006-12-14 00:00:00+01:00,2006-12-21 00:00:00+01:00,0,0,0,0.0,
114,2006-12-21 00:00:00+01:00,2006-12-28 00:00:00+01:00,0,0,0,0.0,
115,2006-12-28 00:00:00+01:00,2007-01-04 00:00:00+01:00,0,0,0,0.0,
116,2007-01-04 00:00:00+01:00,2007-01-11 00:00:00+01:00,0,0,0,0.0,
117,2007-01-11 00:00:00+01:00,2007-01-18 00:00:00+01:00,0,0,0,0.0,
118,2007-01-18 00:00:00+01:00,2007-01-25 00:00:00+01:00,0,0,0,0.0,
119,2007-01-25 00:00:00+01:00,2007-02-01 00:00:00+01:00,0,0,0,0.0,
120,2007-02-01 00:00:00+01:00,2007-02-08 00:00:00+01:00,0,0,0,0.0,
121,2007-02-08 00:00:00+01:00,2007-02-15 00:00:00+01:00,0,0,0,0.0,
122,2007-02-15 00:00:00+01:00,2007-02-22 00:00:00+01:00,0,0,0,0.0,
123,2007-02-22 00:00:00+01:00,2007-03-01 00:00:00+01:00,1,0,1,-23.406209149417833,0.0
124,2007-03-01 00:00:00+01:00,2007-03-08 00:00:00+01:00,0,0,0,0.0,
125,2007-03-08 00:00:00+01:00,2007-03-15 00:00:00+01:00,0,0,0,0.0,
126,2007-03-15 00:00:00+01:00,2007-03-22 00:00:00+01:00,0,0,0,0.0,
127,2007-03-22 00:00:00+01:00,2007-03-29 00:00:00+01:00,0,0,0,0.0,
128,2007-03-29 00:00:00+01:00,2007-04-05 00:00:00+01:00,0,0,0,0.0,
129,2007-04-05 00:00:00+01:00,2007-04-12 00:00:00+01:00,0,0,0,0.0,
130,2007-04-12 00:00:00+01:00,2007-04-19 00:00:00+01:00,0,0,0,0.0,
131,2007-04-19 00:00:00+01:00,2007-04-26 00:00:00+01:00,0,0,0,0.0,
132,2007-04-26 00:00:00+01:00,2007-05-03 00:00:00+01:00,0,0,0,0.0,
133,2007-05-03 00:00:00+01:00,2007-05-10 00:00:00+01:00,0,0,0,0.0,
134,2007-05-10 00:00:00+01:00,2007-05-17 00:00:00+01:00,0,0,0,0.0,
135,2007-05-17 00:00:00+01:00,2007-05-24 00:00:00+01:00,0,0,0,0.0,
136,2007-05-24 00:00:00+01:00,2007-05-31 00:00:00+01:00,0,0,0,0.0,
137,2007-05-31 00:00:00+01:00,2007-06-07 00:00:00+01:00,0,0,0,0.0,
138,2007-06-07 00:00:00+01:00,2007-06-14 00:00:00+01:00,0,0,0,0.0,
