Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL,winPercentage
1,2002-08-09 00:00:00+01:00,2002-08-16 00:00:00+01:00,0,0,0,0.0,
2,2002-08-16 00:00:00+01:00,2002-08-23 00:00:00+01:00,0,0,0,0.0,
3,2002-08-23 00:00:00+01:00,2002-08-30 00:00:00+01:00,0,0,0,0.0,
4,2002-08-30 00:00:00+01:00,2002-09-06 00:00:00+01:00,0,0,0,0.0,
5,2002-09-06 00:00:00+01:00,2002-09-13 00:00:00+01:00,0,0,0,0.0,
6,2002-09-13 00:00:00+01:00,2002-09-20 00:00:00+01:00,0,0,0,0.0,
7,2002-09-20 00:00:00+01:00,2002-09-27 00:00:00+01:00,0,0,0,0.0,
8,2002-09-27 00:00:00+01:00,2002-10-04 00:00:00+01:00,0,0,0,0.0,
9,2002-10-04 00:00:00+01:00,2002-10-11 00:00:00+01:00,0,0,0,0.0,
10,2002-10-11 00:00:00+01:00,2002-10-18 00:00:00+01:00,0,0,0,0.0,
11,2002-10-18 00:00:00+01:00,2002-10-25 00:00:00+01:00,0,0,0,0.0,
12,2002-10-25 00:00:00+01:00,2002-11-01 00:00:00+01:00,0,0,0,0.0,
13,2002-11-01 00:00:00+01:00,2002-11-08 00:00:00+01:00,0,0,0,0.0,
14,2002-11-08 00:00:00+01:00,2002-11-15 00:00:00+01:00,0,0,0,0.0,
15,2002-11-15 00:00:00+01:00,2002-11-22 00:00:00+01:00,0,0,0,0.0,
16,2002-11-22 00:00:00+01:00,2002-11-29 00:00:00+01:00,0,0,0,0.0,
17,2002-11-29 00:00:00+01:00,2002-12-06 00:00:00+01:00,0,0,0,0.0,
18,2002-12-06 00:00:00+01:00,2002-12-13 00:00:00+01:00,0,0,0,0.0,
19,2002-12-13 00:00:00+01:00,2002-12-20 00:00:00+01:00,0,0,0,0.0,
20,2002-12-20 00:00:00+01:00,2002-12-27 00:00:00+01:00,0,0,0,0.0,
21,2002-12-27 00:00:00+01:00,2003-01-03 00:00:00+01:00,0,0,0,0.0,
22,2003-01-03 00:00:00+01:00,2003-01-10 00:00:00+01:00,0,0,0,0.0,
23,2003-01-10 00:00:00+01:00,2003-01-17 00:00:00+01:00,0,0,0,0.0,
24,2003-01-17 00:00:00+01:00,2003-01-24 00:00:00+01:00,0,0,0,0.0,
25,2003-01-24 00:00:00+01:00,2003-01-31 00:00:00+01:00,0,0,0,0.0,
26,2003-01-31 00:00:00+01:00,2003-02-07 00:00:00+01:00,0,0,0,0.0,
27,2003-02-07 00:00:00+01:00,2003-02-14 00:00:00+01:00,1,0,1,-8.027108885209644,0.0
28,2003-02-14 00:00:00+01:00,2003-02-21 00:00:00+01:00,0,0,0,0.0,
29,2003-02-21 00:00:00+01:00,2003-02-28 00:00:00+01:00,0,0,0,0.0,
30,2003-02-28 00:00:00+01:00,2003-03-07 00:00:00+01:00,0,0,0,0.0,
31,2003-03-07 00:00:00+01:00,2003-03-14 00:00:00+01:00,0,0,0,0.0,
32,2003-03-14 00:00:00+01:00,2003-03-21 00:00:00+01:00,0,0,0,0.0,
33,2003-03-21 00:00:00+01:00,2003-03-28 00:00:00+01:00,0,0,0,0.0,
34,2003-03-28 00:00:00+01:00,2003-04-04 00:00:00+01:00,0,0,0,0.0,
35,2003-04-04 00:00:00+01:00,2003-04-11 00:00:00+01:00,0,0,0,0.0,
36,2003-04-11 00:00:00+01:00,2003-04-18 00:00:00+01:00,0,0,0,0.0,
37,2003-04-18 00:00:00+01:00,2003-04-25 00:00:00+01:00,0,0,0,0.0,
38,2003-04-25 00:00:00+01:00,2003-05-02 00:00:00+01:00,0,0,0,0.0,
39,2003-05-02 00:00:00+01:00,2003-05-09 00:00:00+01:00,0,0,0,0.0,
40,2003-05-09 00:00:00+01:00,2003-05-16 00:00:00+01:00,0,0,0,0.0,
41,2003-05-16 00:00:00+01:00,2003-05-23 00:00:00+01:00,0,0,0,0.0,
42,2003-05-23 00:00:00+01:00,2003-05-30 00:00:00+01:00,0,0,0,0.0,
