<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	1.32090	1.32177	1.32033	1.32070	2241	0	5
2020.01.02	07:00:00	1.32070	1.32137	1.32021	1.32134	2436	0	3
2020.01.02	08:00:00	1.32134	1.32239	1.32061	1.32187	1918	0	2
2020.01.02	09:00:00	1.32198	1.32290	1.32095	1.32195	2829	0	3
2020.01.02	10:00:00	1.32195	1.32305	1.32090	1.32215	3173	0	4
2020.01.02	11:00:00	1.32213	1.32269	1.32098	1.32139	1869	0	5
2020.01.02	12:00:00	1.32139	1.32146	1.32049	1.32112	1950	0	3
2020.01.02	13:00:00	1.32111	1.32113	1.31886	1.31995	2424	0	3
2020.01.02	14:00:00	1.31995	1.32126	1.31905	1.31968	2614	0	3
2020.01.02	15:00:00	1.31968	1.31969	1.31712	1.31762	3030	0	3
2020.01.02	16:00:00	1.31762	1.31772	1.31351	1.31473	3594	0	2
2020.01.02	17:00:00	1.31472	1.31943	1.31454	1.31888	4425	0	2
2020.01.02	18:00:00	1.31889	1.31891	1.31233	1.31268	4058	0	2
2020.01.02	19:00:00	1.31268	1.31342	1.31150	1.31341	3635	0	2
2020.01.02	20:00:00	1.31341	1.31433	1.31248	1.31395	2860	0	3
2020.01.02	21:00:00	1.31395	1.31403	1.31279	1.31284	2436	0	2
2020.01.02	22:00:00	1.31284	1.31455	1.31283	1.31383	2363	0	4
2020.01.02	23:00:00	1.31381	1.31418	1.31347	1.31363	1061	0	3
2020.01.03	00:00:00	1.31363	1.31457	1.31342	1.31371	1539	0	46
2020.01.03	01:00:00	1.31371	1.31479	1.31329	1.31466	1443	0	4
2020.01.03	02:00:00	1.31465	1.31566	1.31395	1.31549	1287	0	3
2020.01.03	03:00:00	1.31549	1.31599	1.31345	1.31376	1738	0	2
2020.01.03	04:00:00	1.31376	1.31435	1.31232	1.31273	2460	0	4
2020.01.03	05:00:00	1.31275	1.31378	1.31263	1.31355	2313	0	3
2020.01.03	06:00:00	1.31355	1.31372	1.31244	1.31257	1739	0	4
2020.01.03	07:00:00	1.31257	1.31288	1.31156	1.31211	1751	0	5
2020.01.03	08:00:00	1.31211	1.31238	1.31050	1.31234	1798	0	2
2020.01.03	09:00:00	1.31232	1.31233	1.30827	1.30908	3599	0	4
2020.01.03	10:00:00	1.30908	1.31174	1.30863	1.30976	4126	0	4
2020.01.03	11:00:00	1.30976	1.31007	1.30662	1.30676	3764	0	3
2020.01.03	12:00:00	1.30676	1.30878	1.30676	1.30778	3235	0	2
2020.01.03	13:00:00	1.30778	1.30784	1.30532	1.30581	2982	0	4
2020.01.03	14:00:00	1.30581	1.30821	1.30537	1.30798	3662	0	4
2020.01.03	15:00:00	1.30798	1.31096	1.30718	1.30723	2573	0	2
2020.01.03	16:00:00	1.30721	1.30895	1.30660	1.30691	3314	0	3
2020.01.03	17:00:00	1.30729	1.30940	1.30685	1.30713	3581	0	3
2020.01.03	18:00:00	1.30713	1.30987	1.30691	1.30895	2737	0	3
2020.01.03	19:00:00	1.30895	1.30936	1.30801	1.30879	2296	0	4
2020.01.03	20:00:00	1.30879	1.30898	1.30727	1.30825	2388	0	2
2020.01.03	21:00:00	1.30834	1.30844	1.30743	1.30783	3518	0	6
2020.01.03	22:00:00	1.30783	1.30788	1.30717	1.30730	1207	0	5
2020.01.03	23:00:00	1.30727	1.30767	1.30706	1.30743	745	0	4
2020.01.06	00:00:00	1.30781	1.30854	1.30639	1.30688	1068	0	20
2020.01.06	01:00:00	1.30688	1.30846	1.30625	1.30767	1566	0	3
2020.01.06	02:00:00	1.30767	1.30880	1.30766	1.30801	1174	0	3
2020.01.06	03:00:00	1.30801	1.30816	1.30753	1.30787	1577	0	3
2020.01.06	04:00:00	1.30787	1.30877	1.30787	1.30871	893	0	4
2020.01.06	05:00:00	1.30871	1.30902	1.30806	1.30816	1254	0	3
2020.01.06	06:00:00	1.30816	1.30865	1.30807	1.30835	830	0	3
2020.01.06	07:00:00	1.30835	1.30854	1.30796	1.30809	969	0	7
2020.01.06	08:00:00	1.30807	1.30830	1.30683	1.30824	2348	0	3
2020.01.06	09:00:00	1.30822	1.30944	1.30697	1.30726	2893	0	3
2020.01.06	10:00:00	1.30730	1.31080	1.30635	1.31051	3541	0	2
2020.01.06	11:00:00	1.31053	1.31484	1.31030	1.31428	4527	0	4
2020.01.06	12:00:00	1.31428	1.31729	1.31376	1.31521	3925	0	2
2020.01.06	13:00:00	1.31521	1.31740	1.31506	1.31564	2799	0	2
2020.01.06	14:00:00	1.31563	1.31567	1.31383	1.31383	2695	0	3
2020.01.06	15:00:00	1.31386	1.31485	1.31346	1.31402	2440	0	2
2020.01.06	16:00:00	1.31401	1.31607	1.31330	1.31362	2747	0	3
2020.01.06	17:00:00	1.31362	1.31622	1.31334	1.31585	2787	0	2
2020.01.06	18:00:00	1.31585	1.31694	1.31517	1.31623	2817	0	3
2020.01.06	19:00:00	1.31623	1.31741	1.31562	1.31590	2088	0	3
2020.01.06	20:00:00	1.31588	1.31673	1.31576	1.31576	1732	0	3
2020.01.06	21:00:00	1.31576	1.31638	1.31552	1.31627	1477	0	2
2020.01.06	22:00:00	1.31627	1.31673	1.31589	1.31669	1195	0	2
2020.01.06	23:00:00	1.31662	1.31682	1.31638	1.31682	842	0	4
2020.01.07	00:00:00	1.31684	1.31783	1.31647	1.31747	570	0	2
2020.01.07	01:00:00	1.31747	1.31754	1.31680	1.31705	1698	0	3
2020.01.07	02:00:00	1.31705	1.31767	1.31690	1.31730	1583	0	3
2020.01.07	03:00:00	1.31730	1.31773	1.31698	1.31715	1139	0	5
2020.01.07	04:00:00	1.31716	1.31724	1.31686	1.31697	898	0	6
2020.01.07	05:00:00	1.31697	1.31758	1.31688	1.31737	847	0	3
2020.01.07	06:00:00	1.31737	1.31752	1.31691	1.31708	1755	0	2
2020.01.07	07:00:00	1.31711	1.31726	1.31533	1.31543	821	0	3
2020.01.07	08:00:00	1.31547	1.31626	1.31477	1.31552	1989	0	3
2020.01.07	09:00:00	1.31547	1.31611	1.31408	1.31434	2691	0	3
2020.01.07	10:00:00	1.31434	1.32119	1.31427	1.31881	4518	0	2
2020.01.07	11:00:00	1.31882	1.31968	1.31671	1.31730	3049	0	2
2020.01.07	12:00:00	1.31726	1.31738	1.31452	1.31601	3791	0	3
2020.01.07	13:00:00	1.31601	1.31640	1.31452	1.31468	2747	0	2
2020.01.07	14:00:00	1.31468	1.31477	1.31099	1.31205	3949	0	2
2020.01.07	15:00:00	1.31203	1.31231	1.31021	1.31179	3893	0	2
2020.01.07	16:00:00	1.31178	1.31352	1.31051	1.31062	3553	0	3
2020.01.07	17:00:00	1.31062	1.31239	1.30948	1.31212	3840	0	3
2020.01.07	18:00:00	1.31212	1.31325	1.31059	1.31258	2921	0	1
2020.01.07	19:00:00	1.31257	1.31393	1.31222	1.31272	2457	0	0
2020.01.07	20:00:00	1.31272	1.31371	1.31248	1.31252	1766	0	1
2020.01.07	21:00:00	1.31253	1.31271	1.31184	1.31203	2778	0	1
